Listing_ID,Type,Address,Price,Price_Per_M2,Area,Rooms,Bathrooms,Floor,Year_Built,Finish,View,Payment_Method,Seller_Type,Amenities,Description,Link
EG-6889875,Roof,https://aqarmap.com.eg/en/listing/6889875 projects evora mall,"4,255,000 EGP","115,000 EGP/M²",N/A,N/A,N/A,11,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889875-projects-evora-mall/
EG-6889872,Roof,https://aqarmap.com.eg/en/listing/6889872 projects evora mall,"3,815,000 EGP","109,000 EGP/M²",N/A,N/A,N/A,3,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889872-projects-evora-mall/
EG-6889881,Roof,https://aqarmap.com.eg/en/listing/6889881 projects evora mall,"7,475,000 EGP","115,000 EGP/M²",N/A,N/A,N/A,11,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889881-projects-evora-mall/
EG-6889877,Roof,https://aqarmap.com.eg/en/listing/6889877 projects evora mall,"4,165,000 EGP","85,000 EGP/M²",N/A,N/A,N/A,11,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889877-projects-evora-mall/
EG-6889876,Roof,https://aqarmap.com.eg/en/listing/6889876 projects evora mall,"2,960,000 EGP","80,000 EGP/M²",N/A,N/A,N/A,10,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889876-projects-evora-mall/
EG-6889868,Roof,https://aqarmap.com.eg/en/listing/6889868 projects evora mall,"8,715,000 EGP","105,000 EGP/M²",N/A,N/A,N/A,12,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889868-projects-evora-mall/
EG-6889874,Roof,https://aqarmap.com.eg/en/listing/6889874 projects evora mall,"4,140,000 EGP","115,000 EGP/M²",N/A,N/A,N/A,11,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889874-projects-evora-mall/
EG-6889867,Roof,https://aqarmap.com.eg/en/listing/6889867 projects evora mall,"4,346,000 EGP","106,000 EGP/M²",N/A,N/A,N/A,7,N/A,N/A,Main Street,Cash or Installments,N/A,Elevator,N/A,https://aqarmap.com.eg/en/listing/6889867-projects-evora-mall/
EG-6768841,Apartment,cairo new cairo hy skn ljm lmryky,"7,900,000 EGP","35,111 EGP/M²",225 m²,4 rooms,3 bathroom,Ground,2016,N/A,Side Street,Cash,Developer,"Natural Gas, Garden, Balcony",N/A,https://aqarmap.com.eg/en/listing/6768841-for-sale-cairo-new-cairo-hy-skn-ljm-lmryky/
EG-6890332,Apartment,suez el arebaaen 24 october area,"1,800,000 EGP","14,400 EGP/M²",125 m²,3 rooms,1 bathroom,N/A,N/A,N/A,Main Street,Cash,Broker,Balcony,N/A,https://aqarmap.com.eg/en/listing/6890332-for-sale-suez-el-arebaaen-24-october-area/
EG-6889726,Duplex,https://aqarmap.com.eg/en/listing/6889726 projects ladera ras sudr,"18,800,000 EGP","89,524 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889726-projects-ladera-ras-sudr/
EG-6778758,Unknown,cairo new cairo compounds gardenia hights abo el hawl abo el hawl 2,"20,000,000 EGP","11,111 EGP/M²",1800 m²,N/A,N/A,N/A,2022,N/A,Garden,Cash,Broker,Garden,N/A,https://aqarmap.com.eg/en/listing/6778758-for-sale-cairo-new-cairo-compounds-gardenia-hights-abo-el-hawl-abo-el-hawl-2/
EG-6889700,Duplex,https://aqarmap.com.eg/en/listing/6889700 projects il cuore verde,"8,496,000 EGP","160,302 EGP/M²",N/A,N/A,N/A,7,N/A,N/A,Main Street,Cash or Installments,N/A,"Elevator, Security",N/A,https://aqarmap.com.eg/en/listing/6889700-projects-il-cuore-verde/
EG-6889725,Duplex,https://aqarmap.com.eg/en/listing/6889725 projects ladera ras sudr,"24,000,000 EGP","114,286 EGP/M²",N/A,N/A,N/A,N/A,N/A,N/A,Seaview,Cash or Installments,N/A,Swimming Pool,N/A,https://aqarmap.com.eg/en/listing/6889725-projects-ladera-ras-sudr/
